TimeStamp,Title,Sent,US,Group
2020-04-28T21:23:24,Why Welsh doctors claim <b>nicotine</b> patches could be used for treating coronavirus,1,0,Positive result
2020-04-24T10:57:38,France limits sale of nicotine products after coronavirus research,-1,0,Supply
2020-04-22T13:58:23,French researchers to test nicotine patches on coronavirus patients,1,0,Trial
