,TimeStamp,Title,URL
327,2020-04-30T06:52:03,Covid-19: Lancet study finds no significant clinical benefits of antiviral drug <b>remdesivir</b>,https://www.financialexpress.com/lifestyle/health/covid-19-lancet-study-finds-no-significant-clinical-benefits-of-antiviral-drug-remdesivir
328,2020-04-30T06:08:54,Lancet study finds no significant clinical benefits of antiviral drug <b>remdesivir</b>,https://www.business-standard.com/article/pti-stories/lancet-study-finds-no-significant-clinical-benefits-of-antiviral-drug-remdesivir-120043000310_1.html
329,2020-04-30T05:47:19,Why Gilead's <b>Remdesivir</b> trial data is significant in fight against COVID-19,https://www.moneycontrol.com/news/coronavirus/why-gileads-remdesivir-trial-data-significant-in-fight-against-covid-19-5204871.html
330,2020-04-30T04:55:48,Fauci Says Drug <b>Remdesivir</b> Shows 'Clear' Promise Treating COVID-19,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9S21YYmpuUmNGcE3SAQA?oc=5
331,2020-04-30T04:38:59,Coronavirus updates: Gilead <b>remdesivir</b>; strokes in young people,http://rssfeeds.usatoday.com/~/622699188/0/usatoday-newstopstories~Coronavirus-live-updates-Remdesivir-sees-positive-trial-results-US-economy-shrinks-Los-Angeles-offers-free-testing-for-all-residents/
332,2020-04-30T04:02:58,<b>Remdesivir</b> works! It's the first drug to show promise against coronavirus,https://www.deccanchronicle.com/science/science/300420/remdesivir-shows-clear-cut-effect-in-treating-coronavirus-says-us.html
333,2020-04-30T03:52:36,"<b>Remdesivir</b> drug shows 'clear-cut' effect in treating coronavirus, says U.S.",https://www.thehindu.com/news/international/remdesivir-drug-shows-clear-cut-effect-in-treating-coronavirus-says-us/article31469110.ece
334,2020-04-30T03:13:07,Antiviral drug <b>remdesivir</b> could hold promise in fight against Covid-19: Study,https://www.hindustantimes.com/world-news/antiviral-drug-remdesivir-could-hold-promise-in-fight-against-covid-19-study/story-ukYAC7MJubnx9vAUuXAAvO.html
335,2020-04-30T02:54:07,Experimental Drug <b>Remdesivir</b> Expected To Be 'New,https://www.onenewspage.com/video/20200430/13018844/Experimental-Drug-Remdesivir-Expected-To-Be-New-Standard.htm
336,2020-04-30T02:53:00,<b>Remdesivir</b> may be in the US market by fall under a best-case scenario,https://www.cnbc.com/video/2020/04/30/remdesivir-may-be-in-the-us-market-by-fall-under-a-best-case-scenario.html
337,2020-04-30T02:15:00,US says <b>Remdesivir</b> shows 'clear-cut' effect on coronavirus,https://www.bangkokpost.com/world/1910064/us-says-remdesivir-shows-clear-cut-effect-on-coronavirus
338,2020-04-30T01:34:32,Early trial results for <b>remdesivir</b> show promise,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9Q0cxZnMzM2ZOaEnSAQA?oc=5
339,2020-04-30T01:06:51,US may approve emergency use of Ebola drug <b>remdesivir</b> TODAY,https://www.dailymail.co.uk/health/article-8271801/US-approve-emergency-use-Ebola-drug-remdesivir-TODAY.html?ns_mchannel=rss&ns_campaign=1490&ito=1490
340,2020-04-30T13:06:00,"<b>Remdesivir</b> shows 'clear-cut' effect in treating coronavirus, says US",http://asianage.com/science/300420/remdesivir-shows-clear-cut-effect-in-treating-coronavirus-says-us.html
341,2020-04-30T01:00:38,Lancet study: No statistically significant clinical benefits of <b>remdesivir</b> in COVID patients,https://indianexpress.com/article/india/lancet-study-no-statistically-significant-clinical-benefits-of-remdesivir-in-covid-patients-6385659/
342,2020-04-30T00:18:00,Coronavirus drug <b>remdesivir</b> shows 'clear-cut positive effect' in US trial,http://cnet.com/news/coronavirus-drug-remdesivir-shows-clear-cut-positive-effect-in-us-trial/
343,2020-04-29T23:47:15,Remdesivir:'Clear-cut' results show Gilead drug can,https://www.onenewspage.com/n/UK/1zlreqwfim/Remdesivir-%C2%A0-Clear-cut-results-show-Gilead-drug.htm
344,2020-04-29T23:38:04,One News Page VIDEO,https://www.onenewspage.com/video/20200430/13018661/Remdesivir-study.htm
345,2020-04-29T23:13:58,<b>Remdesivir</b> takes the spotlight in the search for COVID-19 cures  GeekWire,https://www.geekwire.com/2020/antiviral-drug-remdesivir-takes-spotlight-search-covid-19-cures/
346,2020-04-29T23:03:00,Jim Cramer on reopening: '<b>Remdesivir</b> is just what the doctor ordered',https://www.cnbc.com/2020/04/29/jim-cramer-on-reopening-remdesivir-is-just-what-the-doctor-ordered.html
347,2020-04-29T22:46:00,Jim Cramer: <b>Remdesivir</b> is just what the doctor ordered,https://www.cnbc.com/video/2020/04/29/jim-cramer-remdesivir-is-just-what-the-doctor-ordered.html
348,2020-04-29T22:44:45,<b>Remdesivir</b> Speeds Recovery From COVID-19 In Preliminary Trial Results : Shots,https://news.google.com/__i/rss/rd/articles/CBMijAFodHRwczovL3d3dy5ucHIub3JnL3NlY3Rpb25zL2hlYWx0aC1zaG90cy8yMDIwLzA0LzI5Lzg0ODAzNDk2My9hbnRpdmlyYWwtZHJ1Zy1yZW1kZXNpdmlyLXNob3dzLXByb21pc2UtZm9yLXRyZWF0aW5nLWNvcm9uYXZpcnVzLWluLW5paC1zdHVkedIBAA?oc=5
349,2020-04-29T22:41:20,First Randomized Trial Of <b>Remdesivir</b> Suggests,https://www.onenewspage.com/n/World/1zlreqwf3y/First-Randomized-Trial-Of-Remdesivir-Suggests-Antiviral-Drug.htm
350,2020-04-29T22:32:00,Jim Cramer discusses 'very encouraging' Gilead data on <b>remdesivir</b>,https://www.cnbc.com/video/2020/04/29/jim-cramer-discusses-very-encouraging-gilead-data-on-remdesivir.html
351,2020-04-29T22:28:53,Coronavirus: Experimental drug <b>Remdesivir</b> 'can block' COVID-19,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9N0hHamZ0cW5iek3SAQA?oc=5
352,2020-04-29T22:08:44,COVID-19 treatment: San Francisco Bay Area-based Gilead says <b>remdesivir</b> drug proved effective against coronavirus in US study,https://news.google.com/__i/rss/rd/articles/CBMiWWh0dHBzOi8vNmFiYy5jb20vZ2lsZWFkLXNjaWVuY2VzLXJlbWRlc2l2aXItdmlydXMtdHJlYXRtZW50LWZvc3Rlci1jaXR5LXdoby1vd25zLzYxMzgzNTAv0gFdaHR0cHM6Ly82YWJjLmNvbS9hbXAvZ2lsZWFkLXNjaWVuY2VzLXJlbWRlc2l2aXItdmlydXMtdHJlYXRtZW50LWZvc3Rlci1jaXR5LXdoby1vd25zLzYxMzgzNTAv?oc=5
353,2020-04-29T21:59:16,Coronavirus: optimism about <b>remdesivir</b>; life after lockdown,https://nypost.com/2020/04/29/coronavirus-optimism-about-remdesivir-life-after-lockdown/
354,2020-04-29T21:51:05,"<b>Remdesivir</b>, Coronavirus, Met Gala: Your Wednesday Evening Briefing",https://www.nytimes.com/2020/04/29/briefing/remdesivir-coronavirus-met-gala.html
355,2020-04-29T21:48:23,Trump wants FDA to move 'as quickly as they can' on <b>remdesivir</b> coronavirus approval,https://www.cnbc.com/2020/04/29/trump-wants-fda-to-move-as-quickly-as-they-can-on-remdesivir-coronavirus-approval.html
356,2020-04-29T21:33:12,But Its Still Not Clear How Effective It Is Against COVID-19,https://www.forbes.com/sites/leahrosenbaum/2020/04/29/gileads-antiviral-remdesivir-had-a-good-daybut-its-still-not-clear-how-effective-it-is-against-covid-19/
357,2020-04-29T21:30:27,Gilead: SIMPLE Trial Indicates <b>Remdesivir</b> May Help Severely Ill COVID-19 Patients (NASDAQ:GILD),http://seekingalpha.com/article/4341189-gilead-simple-trial-indicates-remdesivir-may-help-severely-ill-covidminus-19-patients
358,2020-04-29T21:09:58,Dr. Fauci says <b>remdesivir</b> has 'positive' effect on coronavirus patients,https://video.foxnews.com/v/6152984620001/
359,2020-04-29T21:08:05,US study finds Gilead anti-viral drug <b>remdesivir</b> works against coronavirus,https://www.bostonherald.com/2020/04/29/a-1st-us-study-finds-gilead-drug-works-against-coronavirus/
360,2020-04-29T20:54:14,Dr. Anthony Fauci on positive signs from coronavirus drug study on <b>remdesivir</b>,https://www.cbsnews.com/video/dr-anthony-fauci-remdesivir-drug-study-coronavirus/
361,2020-04-29T20:13:34,'A drug can block coronavirus': Gilead's <b>remdesivir</b>,https://www.onenewspage.com/n/World/1zlreqwdca/drug-can-block-coronavirus-Gilead.htm
362,2020-04-29T19:54:33,Fauci says experimental coronavirus treatment <b>remdesivir</b> could shorten COVID-19 recovery time,http://www.foxnews.com/science/fauci-says-experimental-coronavirus-treatment-remdesivir-could-shorten-covid-19-recovery-time
363,2020-04-29T19:43:37,Antiviral drug <b>remdesivir</b> shortens time to recover,https://www.onenewspage.com/n/World/1zlreqwd1a/Antiviral-drug-remdesivir-shortens-time-to-recover-from.htm
364,2020-04-29T19:39:44,Ex-CDC director calls <b>remdesivir</b> study 'good news' but 'not a game-changer' in coronavirus fight,http://www.foxnews.com/media/dr-tom-frieden-remdesivir-study-results-coronavirus.print
365,2020-04-29T19:38:31,<b>Remdesivir</b> study: Fauci optimistic about treatment,https://www.cnn.com/2020/04/29/health/gilead-sciences-remdesivir-covid-19-treatment/index.html
366,2020-04-29T19:38:31,"Fauci expresses optimism about 'significant, positive' data from a trial of the possible Covid-19 treatment <b>remdesivir</b>",https://kyma.com/lifestyle/health/2020/04/29/fauci-expresses-optimism-about-significant-positive-data-from-a-trial-of-the-possible-covid-19-treatment-remdesivir/
367,2020-04-29T19:38:00,'A drug can block coronavirus': Gilead's <b>remdesivir</b> raises hopes,http://aljazeera.com/news/2020/04/drug-block-coronavirus-gilead-remdesivir-raises-hopes-200429180419493.html
368,2020-04-29T19:28:03,Video: Fauci hopeful about <b>remdesivir</b> drug to help fight against COVID-19,https://www.dailymail.co.uk/video/news/video-2162164/Video-Fauci-hopeful-remdesivir-drug-help-fight-against-COVID-19.html?ns_mchannel=rss&ito=1490&ns_campaign=1490
369,2020-04-29T19:24:21,<b>Remdesivir</b>: Drug has 'clear cut' power to fight coronavirus,https://news.google.com/__i/rss/rd/articles/CBMiKGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9oZWFsdGgtNTI0Nzg3ODPSASxodHRwczovL3d3dy5iYmMuY29tL25ld3MvYW1wL2hlYWx0aC01MjQ3ODc4Mw?oc=5
370,2020-04-29T18:50:55,US Says <b>Remdesivir</b> Shows 'Clear-cut' Effect In Treating Coronavirus,https://www.ibtimes.com/us-says-remdesivir-shows-clear-cut-effect-treating-coronavirus-2967299?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution
371,2020-04-29T18:39:37,Early data from NIAID study of Gilead's <b>remdesivir</b> in Covid-19 shows improved disease recovery time,https://medcitynews.com/2020/04/niaids-study-of-gileads-remdesivir-in-covid-19-shows-improvement-in-disease-recovery-time/
372,2020-04-29T18:37:48,FDA may approve emergency use authorization of Ebola drug <b>remdesivir</b> TODAY,https://www.dailymail.co.uk/health/article-8270643/FDA-approve-emergency-use-authorization-Ebola-drug-remdesivir-TODAY.html?ns_mchannel=rss&ns_campaign=1490&ito=1490
373,2020-04-29T18:33:46,Covid 19 coronavirus: <b>Remdesivir</b> proven to be effective treatment in new study,https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12328422&ref=rss
374,2020-04-29T18:19:59,FDA nod on Gilead's COVID-19 drug <b>remdesivir</b> imminent,http://seekingalpha.com/news/3566242-fda-nod-on-gileads-covidminus-19-drug-remdesivir-imminent-nyt
375,2020-04-29T18:15:40,<b>Remdesivir</b> coronavirus drug trial shows quite good news: Fauci,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9elZ0TGNkaTlPNzDSAQA?oc=5
376,2020-04-29T18:14:36,Coronavirus: FDA to announce emergency use of experimental drug <b>remdesivir</b> after 'very optimistic' study,https://www.independent.co.uk//news/world/americas/coronavirus-treatment-remdesivir-fda-dr-fauci-ebola-antiviral-a9491166.html
377,2020-04-29T17:15:38,Treatment with <b>remdesivir</b> did not speed up recovery or reduce deaths from COVID-19: Lancet,https://indianexpress.com/article/cities/pune/treatment-with-remdesivir-did-not-speed-up-recovery-or-reduce-deaths-from-covid-19-lancet-6385346/
378,2020-04-29T17:12:11,"WHO declines comment on <b>remdesivir</b> in COVID-19, hopes for best",https://www.jpost.com/breaking-news/who-declines-comment-on-remdesivir-in-covid-19-hopes-for-best-626329
379,2020-04-29T17:08:09,Gilead says <b>remdesivir</b> shows improvement in COVID-19 patients when used early,http://feeds.reuters.com/~r/reuters/healthNews/~3/XOI4PIlrE5k/gilead-says-remdesivir-shows-improvement-in-covid-19-patients-when-used-early-idUSKBN22B1T9
380,2020-04-29T16:57:38,Fauci: <b>Remdesivir</b> has clear cut impact on time to recovery,https://www.forexlive.com/news/!/fauci-remdesivir-has-clear-cut-impact-on-time-to-recovery-20200429
