_id;title;published_at;timestamp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed52d1ce1048f0a0b6f6;Rush Testing <b>Remdesivir</b> as a Potential Treatment for COVID-19;2020-04-06T16:05:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed52d1ce1048f0a0b6f5;Gilead Sciences Pins Its Hopes and GILD Stock on <b>Remdesivir</b>;2020-04-07T10:00:37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed52d1ce1048f0a0b6f4;Baird analyst on why he's skeptical about Gilead's <b>Remdesivir</b> clinical studies;2020-04-07T20:01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed51d1ce1048f0a0b6f3;Has There Been A Clue On Gilead's <b>Remdesivir</b>? (NASDAQ:GILD);2020-04-08T05:59:31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed51d1ce1048f0a0b6f2;Good News for <b>Remdesivir</b> is Good News for Gilead (GILD) Stock;2020-04-08T14:26:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed51d1ce1048f0a0b6f1;COVID-19 Daily: <b>Remdesivir</b> Data Published  World Leader Recovers;2020-04-11T00:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed51d1ce1048f0a0b6f0;<b>Remdesivir</b> shows promise in preliminary coronavirus trial;2020-04-11T01:59:14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed51d1ce1048f0a0b6ef;Experimental coronavirus drug <b>remdesivir</b> is showing early promise  research says;2020-04-11T15:03:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed51d1ce1048f0a0b6ee;Coronavirus Drug Side Effects: What To Know About Hydroxychloroquine  <b>Remdesivir</b>;2020-04-12T20:38:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed51d1ce1048f0a0b6ed;Initial study of <b>remdesivir</b>  an antiviral drug  shows that two-thirds of severe COVID-19 patients got better;2020-04-13T08:55:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
